# Expression Atlas									
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0.5 TPM in experiment E-GEOD-52564									
# Selected columns: 8 (all)									
# Timestamp: Fri, 08-Oct-2021 15:29:21									
Gene ID	Gene Name	astrocyte	endothelial cell	microglia	mixture	myelinating oligodendrocytes	neuron	newly formed oligodendrocytes	oligodendrocyte precursor cells
ENSMUSG00000023505	Cdca3	13	10	3	18	1	5	3	34
ENSMUSG00000023571	C1qtnf12	16	6	7	27	5	41	10	9
ENSMUSG00000023572	Ccndbp1	38	37	33	40	82	67	88	54
ENSMUSG00000023577	ENSMUSG00000023577					1			
ENSMUSG00000023707	Ogfod2	43	22	23	38	53	52	63	28
ENSMUSG00000023723	Mrps23	55	79	45	64	68	96	76	88
ENSMUSG00000023755	Rhebl1	7	13	2	20	1	31	8	10
ENSMUSG00000023764	Sfi1	24	2	5	13	4	15	10	12
ENSMUSG00000023781	Hes7	2		1	2		3		2
ENSMUSG00000023791	Pigx	36	42	19	25	8	30	23	38
ENSMUSG00000023795	Pisd-ps2	13	3		7	3	18	5	8
ENSMUSG00000023800	Tiam2	29			22	0.7	35		1
ENSMUSG00000023805	Synj2	0.5	2	4	4	45	5	21	2
ENSMUSG00000023806	Rsph3b	3		1	2	2	2	3	3
ENSMUSG00000023809	Rps6ka2	6	11	4	12	4	11	6	4
ENSMUSG00000023826	Prkn	3		0.6	2	0.9	3	3	5
ENSMUSG00000023827	Agpat4	13	44	7	54	520	88	442	54
ENSMUSG00000023828	Slc22a3				15		2	2	16
ENSMUSG00000023829	Slc22a1				0.8				
ENSMUSG00000023830	Igf2r	54	26	3	29	10	13	22	16
ENSMUSG00000023832	Acat2	202	11	13	118	214	100	234	90
ENSMUSG00000023845	Lnpep	77	19	5	27	4	54	13	17
ENSMUSG00000023852	Chd1	57	47	10	29	4	30	19	28
ENSMUSG00000023861	Mpc1	66	16	8	22	41	34	35	28
ENSMUSG00000023868	Pde10a	8	6	0.6	20	1	16	5	18
ENSMUSG00000023873	1700010I14Rik	12	2	2	4	4	3	4	5
ENSMUSG00000023882	Zfp54	2	2		2		2	2	3
ENSMUSG00000023883	Phf10	55	40	11	51	34	77	67	52
ENSMUSG00000023885	Thbs2	6	7	1	9		19	3	8
ENSMUSG00000023886	Smoc2		26		3		9		0.8
ENSMUSG00000023892	Zfp51	17	15	0.8	8	1	4	4	6
ENSMUSG00000023903	Mmp25	0.5	66	0.6	4				
ENSMUSG00000023904	Hcfc1r1	111	103	119	216	182	218	140	108
ENSMUSG00000023905	Tnfrsf12a	29	318	475	23	8	17	9	28
ENSMUSG00000023906	Cldn6	0.5	8	0.5	0.5				
ENSMUSG00000023908	Pkmyt1	10	4	2	11	8	8	9	12
ENSMUSG00000023909	Paqr4	138	17	39	75	182	36	161	121
ENSMUSG00000023911	Flywch2	8	2	5	26	13	70	8	18
ENSMUSG00000023912	Slc25a27	25	3	0.7	37	26	149	22	38
ENSMUSG00000023913	Pla2g7	755	18	42	136	12	31	13	119
ENSMUSG00000023915	Tnfrsf21	70	28	127	95	36	193	149	131
ENSMUSG00000023918	Adgrf4						0.8		
ENSMUSG00000023919	Cenpq	48	13	1	21	5	9	22	30
ENSMUSG00000023921	Mmut	61	29	4	32	17	21	35	37
ENSMUSG00000023923	Tbc1d5	9	7	20	18	15	7	27	18
ENSMUSG00000023927	Satb1	21	1	1	30	4	14	13	21
ENSMUSG00000023931	Efhb	1			1		2	0.5	
ENSMUSG00000023932	Cdc5l	55	47	20	45	17	42	36	67
ENSMUSG00000023935	Spats1	3			2	1	2	0.9	2
ENSMUSG00000023938	Aars2	15	5	7	16	7	15	10	17
ENSMUSG00000023939	Mrpl14	24	55	40	39	55	42	50	46
ENSMUSG00000023940	Sgo1	5	2		4		2	1	7
ENSMUSG00000023942	Slc29a1	32	103	173	44	1	56	8	48
ENSMUSG00000023944	Hsp90ab1	1133	2831	1345	1755	2075	3134	2468	1978
ENSMUSG00000023945	Slc5a7				2		24	4	1
ENSMUSG00000023947	Nfkbie	9	7	284	18	5	6	24	27
ENSMUSG00000023949	Tcte1				2		1		
ENSMUSG00000023951	Vegfa	1362	2	4	148	28	252	135	313
ENSMUSG00000023952	Gtpbp2	75	50	43	55	32	64	46	61
ENSMUSG00000023953	Polh	12	3	2	7	3	7	8	11
ENSMUSG00000023959	Clic5	0.5	36	0.5	5		0.9		
ENSMUSG00000023960	Enpp5	64	8	1	100	69	198	102	116
ENSMUSG00000023961	Enpp4	22	10		14	50	15	59	25
ENSMUSG00000023963	Cyp39a1	7	12		8	2	8	1	5
ENSMUSG00000023964	Calcr						1		
ENSMUSG00000023965	Fbxl17	28	37	17	41	13	49	21	28
ENSMUSG00000023966	Rsph9	22	1	2	35	7	44	16	42
ENSMUSG00000023967	Mrps18a	22	18	22	27	19	31	22	22
ENSMUSG00000023968	Crip3	2		0.6	7		3	0.9	2
ENSMUSG00000023971	Rrp36	28	17	22	27	38	26	41	28
ENSMUSG00000023972	Ptk7	50	10	2	33	2	20	27	72
ENSMUSG00000023973	Cnpy3	110	63	365	78	89	72	154	165
ENSMUSG00000023977	Ubr2	67	24	17	38	16	47	38	37
ENSMUSG00000023980	Taf8	32	28	16	16	9	18	27	28
ENSMUSG00000023984	Gm20517						0.7		
ENSMUSG00000023988	Bysl	20	25	17	28	16	27	25	28
ENSMUSG00000023990	Tfeb	14	22	69	8	49	3	68	17
ENSMUSG00000023991	Foxp4	6	2	32	27	8	23	23	13
ENSMUSG00000023992	Trem2	0.5		903	14	8	2	3	36
ENSMUSG00000023993	Treml1			1					
ENSMUSG00000023994	Nfya	16	24	51	24	9	22	20	25
ENSMUSG00000023995	Tspo2								2
ENSMUSG00000023999	Kif6	0.7			1	2	0.5	2	
ENSMUSG00000024002	Brd4	62	38	36	47	13	85	41	39
ENSMUSG00000024006	Stk38	61	24	9	26	4	29	18	30
ENSMUSG00000024007	Ppil1	23	24	6	35	14	34	27	36
ENSMUSG00000024008	Cpne5			0.5	10	0.6	16		0.7
ENSMUSG00000024011	Pi16		0.6	0.5	0.7		1		
ENSMUSG00000024012	Mtch1	120	159	123	189	225	281	209	162
ENSMUSG00000024013	Fgd2	3	1	318	13	3	1	0.9	19
ENSMUSG00000024014	Pim1	68	86	146	37	2	32	3	13
ENSMUSG00000024018	Ccdc167	3	1		2	1	2	2	3
ENSMUSG00000024019	Cmtr1	2	0.7	0.8	2	0.5	2	2	2
ENSMUSG00000024026	Glo1	22	14	6	17	18	14	22	19
ENSMUSG00000024027	Glp1r				0.7		2		
ENSMUSG00000024030	Abcg1	0.8	43	56	18	37	31	33	75
ENSMUSG00000024033	Rsph1	10	0.8	0.5	18		2		0.6
ENSMUSG00000024034	Tmprss3				2			6	5
ENSMUSG00000024036	Slc37a1			0.7	2		2	0.8	0.8
ENSMUSG00000024037	Wdr4	33	15	17	33	12	30	31	24
ENSMUSG00000024038	Ndufv3	41	63	38	74	89	66	90	67
ENSMUSG00000024039	Cbs	253		3	46	4	9	0.8	10
ENSMUSG00000024042	Sik1	221	232	49	93	5	270	12	16
ENSMUSG00000024043	Arhgap28	0.8	38		6		3		0.5
ENSMUSG00000024044	Epb41l3	1		2	26	73	59	54	38
ENSMUSG00000024045	Akap8	94	29	13	57	8	107	40	53
ENSMUSG00000024048	Myl12a	45	267	48	29	10	8	16	21
ENSMUSG00000024049	Myom1	1		3	1		0.8		0.6
ENSMUSG00000024050	Wiz	21	11	18	45	21	48	30	27
ENSMUSG00000024052	Lpin2	33	8	45	27	2	36	13	41
ENSMUSG00000024053	Emilin2	0.8		22	2	28	2	8	6
ENSMUSG00000024054	Smchd1	21	17	2	14	0.8	11	5	12
ENSMUSG00000024055	Cyp4f13	59	11	26	10	13	8	22	20
ENSMUSG00000024056	Ndc80	4	6		5		0.9		6
ENSMUSG00000024059	Clip4	18		0.7	13	1	20	8	18
ENSMUSG00000024063	Lbh	128	21	49	149	51	97	225	702
ENSMUSG00000024064	Galnt14	1			9		13	1	7
ENSMUSG00000024065	Ehd3	6	4	1	35	28	27	98	109
ENSMUSG00000024066	Xdh			0.6					
ENSMUSG00000024067	Dpy30	57	71	27	74	68	90	67	80
ENSMUSG00000024068	Spast	58	26	8	77	37	110	86	80
ENSMUSG00000024069	Slc30a6	38	15	12	16	11	19	16	23
ENSMUSG00000024070	Prkd3	52	53	12	34	12	16	35	49
ENSMUSG00000024072	Yipf4	58	79	12	42	22	72	47	52
ENSMUSG00000024073	Birc6	38	15	3	27	4	26	18	22
ENSMUSG00000024074	Crim1	27	21	10	26	3	25	12	20
ENSMUSG00000024076	Vit	53			30		5	1	11
ENSMUSG00000024077	Strn	34	14	4	32	53	28	152	21
ENSMUSG00000024078	Ttc27	17	14	7	20	6	16	13	25
ENSMUSG00000024079	Eif2ak2	43	27	2	15	0.6	4	2	6
ENSMUSG00000024081	Cebpz	53	54	18	43	11	42	40	54
ENSMUSG00000024082	Ndufaf7	25	20	12	28	9	35	18	26
ENSMUSG00000024083	Pja2	94	72	9	165	34	178	85	105
ENSMUSG00000024084	Qpct	1	5	31	37	10	107	51	215
ENSMUSG00000024085	Man2a1	11	55	5	23	0.6	10	3	11
ENSMUSG00000024087	Cyp1b1	42	0.5		15		4		12
ENSMUSG00000024091	Vapa	129	74	81	130	93	169	227	193
ENSMUSG00000024095	Hnrnpll	41	21	6	32	7	40	23	34
ENSMUSG00000024096	Ralbp1	35	50	25	45	27	77	40	49
ENSMUSG00000024097	Srsf7	210	112	81	164	33	234	118	174
ENSMUSG00000024098	Twsg1	46	39	4	45	9	221	26	45
ENSMUSG00000024099	Ndufv2	90	150	39	140	119	164	151	178
ENSMUSG00000024101	Washc1	44	31	51	36	30	49	47	49
ENSMUSG00000024104	Washc2	174	39	29	66	46	65	91	66
ENSMUSG00000024107	Lhcgr	3			0.8				
ENSMUSG00000024109	Nrxn1	218		0.5	91	2	109	27	94
ENSMUSG00000024112	Cacna1h	26	1	0.6	40	7	36	8	19
ENSMUSG00000024114	Prss41	4			2	1	1	5	13
ENSMUSG00000024118	Tedc2	16	6	6	14	6	19	8	13
ENSMUSG00000024120	Lrpprc	36	13	10	34	8	39	22	23
ENSMUSG00000024121	Atp6v0c	36	17	151	41	18	74	37	39
ENSMUSG00000024122	Pdpk1	30	15	7	32	7	50	21	25
ENSMUSG00000024127	Prepl	47	17	5	85	55	174	80	49
ENSMUSG00000024130	Abca3	95	34	43	67	23	79	62	92
ENSMUSG00000024131	Slc3a1	0.7					1		0.6
ENSMUSG00000024132	Eci1	96	61	28	32	45	18	50	57
ENSMUSG00000024134	Six2				0.5				
ENSMUSG00000024135	Srbd1	23	25	6	19	8	15	17	24
ENSMUSG00000024136	Dnase1l2	7	0.8	2	7	1	5	4	7
ENSMUSG00000024137	E4f1	65	15	21	34	10	47	25	37
ENSMUSG00000024140	Epas1	252	470	2	200	41	19	84	260
ENSMUSG00000024142	Mlst8	37	17	11	24	17	20	29	33
ENSMUSG00000024143	Rhoq	241	39	55	72	15	48	36	85
ENSMUSG00000024145	Pigf	34	22	5	36	31	45	71	69
ENSMUSG00000024146	Cript	51	144	31	85	130	97	113	74
ENSMUSG00000024150	Mcfd2	42	181	161	43	18	50	49	95
ENSMUSG00000024151	Msh2	12	22	5	19	4	20	15	26
ENSMUSG00000024154	Gtf2a1l						0.5		
ENSMUSG00000024155	Meiob				0.9		0.7		
ENSMUSG00000024158	Hagh	53	64	59	48	118	86	94	70
ENSMUSG00000024160	Spsb3	37	10	6	11	6	16	9	13
ENSMUSG00000024163	Mapk8ip3	104	19	26	86	85	111	108	105
ENSMUSG00000024164	C3			7	3				1
ENSMUSG00000024165	Jpt2	9	24	13	18	46	11	43	23
ENSMUSG00000024168	Tmem204	2	320	138	27	0.9	2		15
ENSMUSG00000024169	Ift140	26	4	21	19	17	17	24	30
ENSMUSG00000024170	Telo2	18	5	15	15	7	19	15	19
ENSMUSG00000024172	St6gal2	33			47	0.6	32	6	15
ENSMUSG00000024173	Tpsab1			0.8					
ENSMUSG00000024174	Pot1b	11	4	0.8	7	1	6	5	7
ENSMUSG00000024175	Tekt4	5			4			0.5	2
ENSMUSG00000024176	Sox8	102	0.6	3	86	195	17	439	428
ENSMUSG00000024177	Nme4	4	7	11	8	2	7	14	24
ENSMUSG00000024180	Tmem8	6	3	11	11	3	10	7	10
ENSMUSG00000024181	Mrpl28	81	99	69	95	92	113	103	124
ENSMUSG00000024182	Axin1	49	46	51	36	36	71	64	71
ENSMUSG00000024184	Pdia2				1				
ENSMUSG00000024186	Rgs11	2		3	36	2	48	5	6
ENSMUSG00000024187	Fam234a	69	22	46	35	132	25	131	110
ENSMUSG00000024188	Luc7l	154	28	13	88	17	143	69	86
ENSMUSG00000024190	Dusp1	1444	1604	2677	290	37	453	38	206
ENSMUSG00000024191	Bnip1	21	13	8	15	7	20	12	16
ENSMUSG00000024193	Phf1	25	16	40	20	5	52	9	15
ENSMUSG00000024194	Cuta	40	37	54	32	52	33	61	52
ENSMUSG00000024197	Plin3	32	42	14	15	89	4	21	7
ENSMUSG00000024201	Kdm4b	88	40	48	66	52	90	77	84
ENSMUSG00000024205	Rpl36-ps2		1	1	0.8		2	1	0.9
ENSMUSG00000024206	Rfx2	9	2		3	0.7	15	1	2
ENSMUSG00000024207	Acsbg2	0.6							
ENSMUSG00000024208	Uqcc2	67	209	116	193	162	145	165	191
ENSMUSG00000024209	Acsbg3	2	0.6		1		3	1	1
ENSMUSG00000024210	Ip6k3	1		7					0.7
ENSMUSG00000024211	Grm8				3		3		1
ENSMUSG00000024212	Mllt1	58	45	83	92	42	78	68	88
ENSMUSG00000024213	Nudt3	151	36	88	136	194	145	137	85
ENSMUSG00000024215	Spdef	1	0.6	0.6	3	0.6	5	1	0.5
ENSMUSG00000024217	Snrpc	16	16	9	12	11	17	15	17
ENSMUSG00000024218	Taf11	23	26	8	21	23	26	41	27
ENSMUSG00000024219	Anks1	26	35	42	24	16	23	30	14
ENSMUSG00000024220	Zfp523	45	10	14	35	23	35	36	36
ENSMUSG00000024222	Fkbp5	2	4	67	11	5	10	10	14
ENSMUSG00000024225	Clps								0.6
ENSMUSG00000024227	Pdzph1	33			7	0.7	2		2
ENSMUSG00000024228	Nudt12	7	7		5	1	1	2	3
ENSMUSG00000024231	Cul2	54	44	5	50	10	54	31	44
ENSMUSG00000024232	Bambi	15	92	2	10	4	8	5	12
ENSMUSG00000024234	Mtpap	31	29	4	17	4	20	14	18
ENSMUSG00000024235	Map3k8	2	40	47	9	0.5	2		4
ENSMUSG00000024236	Svil	18	16	3	17	0.7	4	16	32
ENSMUSG00000024238	Zeb1	125	49	5	65	2	33	22	108
ENSMUSG00000024240	Epc1	143	61	24	58	20	118	75	79
ENSMUSG00000024241	Sos1	28	28	2	24	8	48	19	19
ENSMUSG00000024242	Map4k3	27	44	5	29	8	58	18	22
ENSMUSG00000024245	Tmem178	4	3	4	58	23	200	49	57
ENSMUSG00000024246	Thumpd2	31	9	4	12	1	6	9	17
ENSMUSG00000024247	Pkdcc	19	5	41	21	5	10	10	38
ENSMUSG00000024248	Cox7a2l	58	284	205	145	147	130	89	120
ENSMUSG00000024251	Thada	11	4	7	7	2	7	5	8
ENSMUSG00000024253	Dync2li1	30	12	3	29	7	31	21	45
ENSMUSG00000024256	Adcyap1				10		13		
ENSMUSG00000024258	Polr2d	91	140	46	114	122	159	226	207
ENSMUSG00000024259	Slc25a46	45	21	2	38	14	62	30	31
ENSMUSG00000024260	Sap130	32	17	11	21	5	38	16	23
ENSMUSG00000024261	Syt4	14	2	0.9	166	2	438	9	21
ENSMUSG00000024268	Celf4	3	1	3	128	5	309	3	13
ENSMUSG00000024269	Tpgs2	29	17	3	29	13	27	19	24
ENSMUSG00000024270	Slc39a6	71	12	16	99	27	195	98	117
ENSMUSG00000024271	Elp2	85	24	21	55	18	70	39	61
ENSMUSG00000024273	2700062C07Rik	33	13	11	24	15	29	18	19
ENSMUSG00000024274	Zscan30	7	2	0.5	5	0.5	5	4	7
ENSMUSG00000024276	Zfp397	26	8	2	19	3	25	16	21
ENSMUSG00000024277	Mapre2	35	22	38	126	65	151	107	69
ENSMUSG00000024283	Wac	72	75	13	62	16	116	72	89
ENSMUSG00000024286	Ccny	56	159	23	99	41	97	131	85
ENSMUSG00000024287	Thoc1	39	12	1	21	2	25	11	16
ENSMUSG00000024290	Rock1	23	22	1	16	4	16	12	15
ENSMUSG00000024292	Cyp4f14	63		0.6	8	2	2		8
ENSMUSG00000024293	Esco1	57	28	3	18	3	20	12	19
ENSMUSG00000024294	Mib1	90	30	6	71	10	68	49	57
ENSMUSG00000024295	Cyp4f41-ps	0.5						0.5	0.6
ENSMUSG00000024298	Zfp871	82	17	5	41	3	58	29	43
ENSMUSG00000024299	Adamts10	38	41	9	30		36	11	39
ENSMUSG00000024300	Myo1f			164	8	2	0.7	0.5	11
ENSMUSG00000024301	Kifc5b	8	1	0.7	5	0.7	5	2	8
ENSMUSG00000024302	Dtna	171		0.5	41	12	23	15	21
ENSMUSG00000024304	Cdh2	131	43		68	7	95	42	72
ENSMUSG00000024306	Ccdc178						0.5		1
ENSMUSG00000024308	Tapbp	33	53	214	30	15	38	19	35
ENSMUSG00000024309	Pfdn6	51	50	39	98	93	130	105	115
ENSMUSG00000024312	Wdr46	51	12	35	33	20	29	37	38
ENSMUSG00000024317	Rnf138	24	22	3	16	5	23	14	18
ENSMUSG00000024319	Vps52	101	74	82	87	116	105	131	115
ENSMUSG00000024325	Ring1	80	22	40	25	35	38	45	49
ENSMUSG00000024327	Slc39a7	23	19	30	15	15	17	28	26
ENSMUSG00000024330	Col11a2	20	1	4	25	115	19	338	185
ENSMUSG00000024331	Dsc2	1			2		2		1
ENSMUSG00000024334	H2-Oa			85	1	0.7			2
ENSMUSG00000024335	Brd2	334	227	236	261	125	294	209	186
ENSMUSG00000024338	Psmb8	0.5	10	52	3		1	0.9	6
ENSMUSG00000024339	Tap2	25	26	45	10	0.8	6	10	43
ENSMUSG00000024340	Btnl2			2					
ENSMUSG00000024346	Pfdn1	112	213	52	182	121	154	136	154
ENSMUSG00000024347	Psd2	199		0.9	67	3	154	7	42
ENSMUSG00000024349	Tmem173	16	48	440	11	3	2	1	24
ENSMUSG00000024350	Dnajc18	72	26	12	50	33	65	69	64
ENSMUSG00000024352	Spata24	22	2	1	8	11	3	5	6
ENSMUSG00000024353	Mzb1	3			0.5				
ENSMUSG00000024354	Slc23a1	2	2		1	0.5	4	2	1
ENSMUSG00000024357	Sil1	45	56	22	16	34	17	30	39
ENSMUSG00000024359	Hspa9	247	136	99	181	81	235	244	219
ENSMUSG00000024360	Etf1	144	219	121	137	56	153	158	126
ENSMUSG00000024366	Gfra3						0.7		
ENSMUSG00000024369	Nelfe	37	53	58	38	47	35	42	60
ENSMUSG00000024370	Cdc23	29	37	6	27	10	26	23	32
ENSMUSG00000024371	C2	2		3	0.9		1		1
ENSMUSG00000024376	Epb41l4a	24	0.7		9	2	40	4	6
ENSMUSG00000024378	Stard4	150	110	6	61	16	52	31	35
ENSMUSG00000024379	Tslp	0.8	0.7	3	2				1
ENSMUSG00000024381	Bin1	40	36	666	142	573	516	532	120
ENSMUSG00000024382	Ercc3	57	56	29	45	30	42	47	50
ENSMUSG00000024383	Map3k2	36	18	7	16	3	47	22	21
ENSMUSG00000024384	Iws1	29	16	3	23	4	27	11	17
ENSMUSG00000024387	Csnk2b	107	184	121	114	120	171	161	157
ENSMUSG00000024388	Myo7b							0.8	
ENSMUSG00000024391	Apom	2		1	0.9	0.6	2	0.9	2
ENSMUSG00000024392	Bag6	145	101	163	135	108	241	196	186
ENSMUSG00000024393	Prrc2a	251	64	215	233	111	272	255	289
ENSMUSG00000024395	Lims2	1	66	4	51	144	6	689	279
ENSMUSG00000024397	Aif1	0.6	2	462	33	9	26	6	42
ENSMUSG00000024399	Ltb		3	15	0.9		2		
ENSMUSG00000024400	Wdr33	32	18	9	20	8	33	19	22
ENSMUSG00000024401	Tnf	2	28	2082	98	2	0.7	1	24
ENSMUSG00000024402	Lta	3	0.7	1	1	2	3	1	
ENSMUSG00000024403	Atp6v1g2	19	6	16	89	36	216	26	56
ENSMUSG00000024404	Riok3	47	37	11	32	17	41	36	32
ENSMUSG00000024409	Psors1c2	4	20		4		0.7		
ENSMUSG00000024410	Rmc1	34	15	9	18	16	37	19	16
ENSMUSG00000024411	Aqp4	1378	4	1	328	5	59	3	44
ENSMUSG00000024413	Npc1	111	14	77	37	117	29	152	158
ENSMUSG00000024414	Mrpl27	55	120	28	70	67	92	79	90
ENSMUSG00000024420	Zfp521	60	37		22	4	8	16	45
ENSMUSG00000024421	Lama3	1	2		2		5		
ENSMUSG00000024422	Dhx16	52	32	32	40	26	38	44	48
ENSMUSG00000024423	Impact	179	13	37	57	16	155	44	47
ENSMUSG00000024424	Ttc39c	11	0.6		9	22	38	34	16
ENSMUSG00000024425	Ndfip1	117	200	51	278	126	479	370	292
ENSMUSG00000024426	Atat1	45	5	7	88	147	139	188	95
ENSMUSG00000024427	Spry4	118	24	2	44	0.7	18	15	87
ENSMUSG00000024429	Gnl1	87	40	140	130	80	146	70	109
ENSMUSG00000024430	Cabyr	6	2	0.8	13	4	18	7	4
ENSMUSG00000024431	Nr3c1	128	95	16	51	22	19	49	103
ENSMUSG00000024436	Mrps18b	16	7	18	14	12	15	18	15
ENSMUSG00000024437	Gm8615	29	1	40	17	4	15	18	36
ENSMUSG00000024440	Pcdh12	0.6	120	0.5	12				
ENSMUSG00000024442	Dele1	51	30	40	30	22	33	34	51
ENSMUSG00000024446	Rpp21	16	42	18	33	29	31	25	36
ENSMUSG00000024451	Arap3	4	153	163	33	1	2		10
ENSMUSG00000024454	Hdac3	149	58	42	96	37	159	71	108
ENSMUSG00000024456	Diaph1	30	38	16	32	8	26	13	29
ENSMUSG00000024457	Trim26	34	37	45	22	16	27	27	36
ENSMUSG00000024459	H2-M5				9		18	0.6	2
ENSMUSG00000024462	Gabbr1	868	14	19	323	92	401	89	198
ENSMUSG00000024472	Dcp2	24	14	6	28	2	37	11	18
ENSMUSG00000024474	Ik	132	93	53	103	52	103	93	117
ENSMUSG00000024477	Pggt1b	27	22	2	20	2	17	8	13
ENSMUSG00000024479	Mal2		1	2	53	3	62	1	8
ENSMUSG00000024480	Ap3s1	88	94	8	90	8	124	17	40
ENSMUSG00000024481	Lvrn						0.5		
ENSMUSG00000024483	Ankhd1	52	24	8	25	4	34	17	26
ENSMUSG00000024486	Hbegf	107	98	115	42	4	22	18	35
ENSMUSG00000024487	Yipf5	58	38	13	42	25	43	50	56
ENSMUSG00000024491	Rbm27	35	20	3	23	4	32	18	21
ENSMUSG00000024493	Lars	66	36	21	63	17	50	50	67
ENSMUSG00000024497	Pou4f3								0.7
ENSMUSG00000024498	Tcerg1	66	19	6	45	6	65	32	46
ENSMUSG00000024500	Ppp2r2b	175	2	2	157	5	195	38	134
ENSMUSG00000024501	Dpysl3	123	6	1	970	3	1041	107	478
ENSMUSG00000024502	Jakmip2	7			22	4	29	11	20
ENSMUSG00000024505	Dtwd2	6	5	0.6	4	3	5	5	4
ENSMUSG00000024507	Hsd17b4	149	100	69	114	113	44	201	239
ENSMUSG00000024511	Rab27b	0.5			7		6	2	10
ENSMUSG00000024513	Mbd2	49	92	14	36	36	37	41	48
ENSMUSG00000024515	Smad4	71	87	52	66	19	81	53	70
ENSMUSG00000024516	Sec11c	51	48	20	34	36	18	43	61
ENSMUSG00000024517	Grp	1	13	1	27	1	6	2	8
ENSMUSG00000024521	Pmaip1	9	240	35	16		3		6
ENSMUSG00000024524	Gnal	3	1	0.8	104	3	37	6	21
ENSMUSG00000024525	Impa2	27	5	3	9	0.6	4	2	5
ENSMUSG00000024526	Cidea	4			13	0.8	9	0.5	
ENSMUSG00000024527	Afg3l2	39	15	9	24	6	32	18	23
ENSMUSG00000024528	Srfbp1	21	9	15	11	8	10	18	15
ENSMUSG00000024529	Lox		1		5		1	1	10
ENSMUSG00000024530	Prelid3a	42		2	31	3	43	6	15
ENSMUSG00000024533	Spire1	184	11	26	85	14	71	41	88
ENSMUSG00000024534	Sncaip	69	2	5	30		18	3	23
ENSMUSG00000024535	Snx24	27	12	31	21	19	26	28	36
ENSMUSG00000024537	Psmg2	61	48	12	40	19	45	49	77
ENSMUSG00000024538	Ppic	84	1032	3	117	1	10	0.8	19
ENSMUSG00000024539	Ptpn2	48	47	6	27	5	26	14	21
ENSMUSG00000024542	Cep192	23	9	2	12	0.5	7	6	12
ENSMUSG00000024544	Ldlrad4	6	28	53	18	8	14	12	24
ENSMUSG00000024548	Setbp1	42	3		28	1	31	11	23
ENSMUSG00000024552	Slc14a2	16			5		0.7		
ENSMUSG00000024553	Galr1						4		0.8
ENSMUSG00000024556	Me2	11	14	20	12	19	8	37	14
ENSMUSG00000024558	Mapk4	86		1	30	1	16	2	14
ENSMUSG00000024560	Cxxc1	89	79	51	66	21	77	46	75
ENSMUSG00000024561	Mbd1	66	31	14	36	10	46	28	41
ENSMUSG00000024563	Smad2	36	24	10	27	7	44	26	24
ENSMUSG00000024565	Sall3	104		29	28		12	12	45
ENSMUSG00000024566	Atp9b	47	21	20	29	14	27	28	32
ENSMUSG00000024570	Rbfa	34	17	45	27	18	37	27	40
ENSMUSG00000024571	Gm16286	97	73	158	59	55	119	117	96
ENSMUSG00000024576	Csnk1a1	131	160	25	113	58	203	124	118
ENSMUSG00000024578	Il17b				0.6	1	2	1	
ENSMUSG00000024579	Pcyox1l	33	5	13	23	17	18	14	32
ENSMUSG00000024580	Grpel2	22	5	14	14	7	25	21	21
ENSMUSG00000024581	Napg	39	14	8	41	11	61	18	22
ENSMUSG00000024583	Txnl1	47	96	20	44	29	79	47	57
ENSMUSG00000024587	Nars	97	75	117	126	48	200	109	131
ENSMUSG00000024588	Fech	11	9	7	10	21	9	18	19
ENSMUSG00000024589	Nedd4l	22	6	4	17	4	23	7	4
ENSMUSG00000024590	Lmnb1	51	75	27	127	3	89	33	160
ENSMUSG00000024592	C330018D20Rik	17	5	2	12	8	7	12	12
ENSMUSG00000024593	Megf10	142			18	15	7	11	12
ENSMUSG00000024594	Prrc1	17	10	12	12	4	12	9	12
ENSMUSG00000024597	Slc12a2	18	21	16	38	99	20	295	60
ENSMUSG00000024598	Fbn2	0.6			10	2	5	20	13
ENSMUSG00000024600	Slc27a6	0.7	3		4	2	8	11	14
ENSMUSG00000024601	Isoc1	52	44	20	93	23	439	73	158
ENSMUSG00000024603	Dctn4	64	24	12	34	31	49	52	35
ENSMUSG00000024604	Rbm22	57	46	34	35	36	50	71	64
ENSMUSG00000024608	Rps14	167	1682	952	435	364	347	385	395
ENSMUSG00000024610	Cd74	0.5	6	390	18	5	2	0.8	16
ENSMUSG00000024613	Tcof1	19	12	44	20	7	23	17	39
ENSMUSG00000024614	Tmx3	79	46	5	39	19	39	37	51
ENSMUSG00000024617	Camk2a	4	1	116	341	162	43	23	158
ENSMUSG00000024620	Pdgfrb	171	70	6	71	1	6		17
ENSMUSG00000024621	Csf1r	4	2	9144	133	60	9	31	429
ENSMUSG00000024622	Hmgxb3	17	13	25	13	9	14	24	14
ENSMUSG00000024639	Gnaq	62	42	25	134	30	207	79	79
ENSMUSG00000024640	Psat1	398	54	30	185	585	54	691	323
ENSMUSG00000024642	Tle4	102	20	21	47	8	72	35	53
ENSMUSG00000024644	Cndp2	50	56	367	52	48	40	74	91
ENSMUSG00000024645	Timm21	29	14	4	15	7	13	18	26
ENSMUSG00000024646	Cyb5a	71	113	62	69	183	61	209	90
ENSMUSG00000024647	Cbln2		9	0.5	26	2	56	16	1
ENSMUSG00000024650	Slc22a6				11		1		16
ENSMUSG00000024654	Asrgl1	456	15	9	212	232	46	330	432
